index,month,day,FFMC,DMC,DC,temp,RH,wind,hypotenuse,burned_area
162,3,6,90.6,50.1,100.4,15.2,31,8.5,6.708203932,0.0194
163,9,6,92.5,121.1,674.4,17.8,56,1.8,10,0.0195
164,9,7,89.7,90,704.4,17.8,67,2.2,9.433981132,0.0201
165,3,4,84.9,18.2,55,5.3,70,4.5,7.810249676,0.0214
166,8,3,92.1,111.2,654.1,16.6,47,0.9,7.810249676,0.0229
167,8,3,96,127.1,570.5,23.4,33,4.5,7.810249676,0.0251
168,3,5,91.2,48.3,97.8,14.6,26,9.4,7.810249676,0.0253
169,8,4,95.2,131.7,578.8,20.7,45,2.2,10,0.0255
170,9,3,92.9,133.3,699.6,21.9,35,1.8,6.403124237,0.0257
171,8,3,85.6,90.4,609.6,17.4,50,4,10,0.0269
172,8,7,91.4,142.4,601.4,20.1,39,5.4,8.062257748,0.0274
173,9,1,90.9,126.5,686.5,17.7,39,2.2,5.656854249,0.0307
174,8,6,90.2,96.9,624.2,14.2,53,1.8,4.123105626,0.035
175,8,6,90.2,96.9,624.2,20.3,39,4.9,4.123105626,0.0453
176,4,4,81.5,9.1,55.2,5.8,54,5.8,7.810249676,0.0461
177,8,7,90.2,99.6,631.2,19.2,44,2.7,5.385164807,0.0469
178,9,3,90.1,82.9,735.7,18.3,45,2.2,5.385164807,0.0488
179,8,2,88.8,147.3,614.5,14.4,66,5.4,10,0.0523
180,9,7,92.4,124.1,680.7,23.9,32,6.7,3.16227766,0.0533
181,10,1,84.9,32.8,664.2,19.1,32,4,10,0.0544
182,2,7,86.8,15.6,48.3,12.4,53,2.2,6.403124237,0.0638
183,10,1,91.7,48.5,696.1,16.8,45,4.5,8.062257748,0.0683
184,8,5,93.9,135.7,586.7,20.8,34,4.9,10,0.0696
185,9,2,91,129.5,692.6,17.6,46,3.1,5.385164807,0.0704
186,3,7,89.3,51.3,102.2,11.5,39,5.8,10,0.0719
187,9,1,90.9,126.5,686.5,21,42,2.2,5.099019514,0.073
188,3,6,90.8,41.9,89.4,13.3,42,0.9,7.211102551,0.074
189,3,7,90.7,44,92.4,11.5,60,4,8.062257748,0.0824
190,3,5,91.2,48.3,97.8,11.7,33,4,7.810249676,0.0831
191,8,4,95.2,131.7,578.8,24.2,28,2.7,5.385164807,0.0868
192,8,2,94.8,108.3,647.1,24.6,22,4.5,2.828427125,0.0871
193,9,3,92.9,133.3,699.6,24.3,25,4,6.403124237,0.0941
194,8,2,94.8,108.3,647.1,24.6,22,4.5,2.828427125,0.1001
195,8,5,93.9,135.7,586.7,23.5,36,5.4,5.385164807,0.1002
196,4,4,81.5,9.1,55.2,5.8,54,5.8,7.810249676,0.1093
197,9,4,92.9,137,706.4,21.5,15,0.9,6.403124237,0.1106
198,9,2,91,129.5,692.6,13.9,59,6.3,5,0.1124
199,9,1,63.5,70.8,665.3,22.6,38,3.6,4.472135955,0.1132
200,9,2,91,129.5,692.6,21.6,33,2.2,5.099019514,0.1153
201,3,7,90.1,37.6,83.7,12.4,54,3.6,7.810249676,0.121
202,2,7,83.9,8.7,32.1,8.8,68,2.2,8.062257748,0.1305
203,10,3,91.4,37.9,673.8,20.2,37,2.7,10,0.137
204,3,6,90.6,50.1,100.4,15.1,64,4,7.810249676,0.1399
205,9,4,92.9,137,706.4,22.1,34,1.8,6.403124237,0.1457
206,8,6,93.5,139.4,594.2,22.9,31,7.2,2.828427125,0.1545
207,9,2,91,129.5,692.6,20.7,37,2.2,8.602325267,0.172
208,9,5,92.4,117.9,668,19.6,33,6.3,7.810249676,0.1923
209,9,4,93.7,80.9,685.2,23.2,26,4.9,8.544003745,0.2341
210,10,6,90.6,43.7,686.9,18.4,25,3.1,5.656854249,0.2423
211,8,6,93.5,139.4,594.2,5.1,96,5.8,8.062257748,0.26
212,9,5,94.3,85.1,692.3,20.1,47,4.9,8.062257748,0.2613
213,3,1,87.6,52.2,103.8,11,46,5.8,7.615773106,0.2735
214,3,6,91.7,35.8,80.8,17,27,4.9,5.656854249,0.2866
215,3,6,91.7,35.8,80.8,17,27,4.9,5.656854249,0.2866
216,9,7,92.4,124.1,680.7,16.9,60,1.3,5.656854249,0.2948
217,9,1,88.6,91.8,709.9,12.4,73,6.3,3.16227766,0.3032
218,9,3,92.9,133.3,699.6,19.4,19,1.3,6.403124237,0.3172
219,3,1,90.1,39.7,86.6,15.2,27,3.1,7.810249676,0.3186
220,8,7,90.2,99.6,631.2,16.2,59,3.1,10,0.3207
221,9,5,93.3,141.2,713.9,18.6,49,3.6,5,0.3588
222,3,1,87.6,52.2,103.8,11,46,5.8,5,0.3685
223,7,5,88.3,150.3,309.9,13.4,79,3.6,2.828427125,0.3702
224,9,3,90.1,82.9,735.7,15.4,57,4.5,8.062257748,0.3771
225,9,7,93.5,149.3,728.6,22.9,39,4.9,5.656854249,0.4855
226,10,1,91.7,48.5,696.1,16.1,44,4,8.602325267,0.4937
227,8,6,92.2,81.8,480.8,20.1,34,4.5,10,0.583
228,9,7,93.5,149.3,728.6,28.3,26,3.1,7.211102551,0.641
229,8,6,92.2,81.8,480.8,16.4,43,4,10,0.713
230,9,3,92.9,133.3,699.6,26.4,21,4.5,5.656854249,0.8849
231,9,7,93.5,149.3,728.6,27.8,27,3.1,5.099019514,0.9518
232,9,2,91,129.5,692.6,18.7,43,2.7,7.211102551,1.0339
233,9,2,84.4,73.4,671.9,24.3,36,3.1,9.848857802,1.0566
234,9,6,92.5,121.1,674.4,17.7,25,3.1,6.403124237,1.5488
235,8,7,91.4,142.4,601.4,19.6,41,5.8,10,1.9648
236,9,6,92.5,121.1,674.4,18.2,46,1.8,2.828427125,2.0094
237,9,2,91,129.5,692.6,18.8,40,2.2,2.236067977,2.1288
238,9,6,92.5,121.1,674.4,25.1,27,4,7.810249676,10.9084
239,4,7,81.9,3,7.9,13.4,75,1.8,8.602325267,0
240,4,3,88,17.2,43.5,15.2,51,2.7,6.708203932,0
241,4,5,83,23.3,85.3,16.7,20,3.1,5.656854249,0
242,8,7,94.2,122.3,589.9,15.4,66,4,4.472135955,0.1013
243,8,7,91.8,175.1,700.7,21.9,73,7.6,8.062257748,0
244,8,7,91.8,175.1,700.7,22.4,54,7.6,4.472135955,0.0287
245,8,7,91.8,175.1,700.7,26.8,38,6.3,5,0.0076
246,8,7,91.8,175.1,700.7,25.7,39,5.4,6.403124237,0.0009
247,8,3,92.2,91.6,503.6,20.7,70,2.2,4.472135955,0.0075
248,8,3,93.1,157.3,666.7,28.7,28,2.7,10,0
249,8,3,93.1,157.3,666.7,21.7,40,0.4,5,0.0247
250,8,3,93.1,157.3,666.7,26.8,25,3.1,9.433981132,0.0068
251,8,3,93.1,157.3,666.7,24,36,3.1,9.433981132,0.0024
252,8,3,93.1,157.3,666.7,22.1,37,3.6,7.810249676,0.0021
253,8,4,91.9,109.2,565.5,21.4,38,2.7,8.062257748,0.0152
254,8,4,91.6,138.1,621.7,18.9,41,3.1,6.708203932,0.1034
255,8,4,87.5,77,694.8,22.3,46,4,5.385164807,0
256,8,6,94.2,117.2,581.1,23.9,41,2.2,10,0.0802
257,8,6,94.2,117.2,581.1,21.4,44,2.7,5,0.0068
258,8,6,91.8,170.9,692.3,20.6,59,0.9,5,0
259,8,6,91.8,170.9,692.3,23.7,40,1.8,8.062257748,0.0138
260,8,1,93.6,97.9,542,28.3,32,4,4.472135955,0.0885
261,8,5,91.6,112.4,573,11.2,84,7.6,5,0.033
262,8,5,91.6,112.4,573,21.4,42,3.1,4.472135955,0.0425
263,8,5,91.1,141.1,629.1,19.3,39,3.6,6.708203932,0.0156
264,8,5,94.3,167.6,684.4,21.8,53,3.1,5.656854249,0.0654
265,8,2,93.7,102.2,550.3,22.1,54,7.6,5.656854249,0.0079
266,8,2,94.3,131.7,607.1,19.4,55,4,7.810249676,0.0017
267,8,2,92.1,152.6,658.2,23.7,24,3.1,2.828427125,0
268,8,2,92.1,152.6,658.2,21,32,3.1,5,0
269,8,2,92.1,152.6,658.2,19.1,53,2.7,5.656854249,0.044
270,8,2,92.1,152.6,658.2,21.8,56,3.1,2.828427125,0.0052
271,8,2,92.1,152.6,658.2,20.1,58,4.5,10,0.0927
272,8,2,92.1,152.6,658.2,20.2,47,4,5.385164807,0.0309
273,12,7,84.4,27.2,353.5,4.8,57,8.5,7.211102551,0.0898
274,12,3,84,27.8,354.6,5.1,61,8,10,0.1119
275,12,4,84.6,26.4,352,5.1,61,4.9,7.211102551,0.0538
276,12,1,85.4,25.4,349.7,4.6,21,8.5,5.656854249,0.1785
277,12,1,85.4,25.4,349.7,4.6,21,8.5,5,0.1073
278,12,1,85.4,25.4,349.7,4.6,21,8.5,5.656854249,0.2203
279,12,1,85.4,25.4,349.7,4.6,21,8.5,5.656854249,0.0977
280,12,5,84.7,26.7,352.6,2.2,59,4.9,7.211102551,0.0927
281,12,2,85.4,25.4,349.7,5.1,24,8.5,7.810249676,0.2477
282,2,7,84.9,27.5,353.5,4.2,51,4,6.708203932,0
283,2,3,86.9,6.6,18.7,8.8,35,3.1,5,0.011
284,2,5,85.2,4.9,15.8,7.5,46,8,6.403124237,0.2424
285,7,7,93.9,169.7,411.8,23.4,40,6.3,5.385164807,0
286,7,3,91.2,183.1,437.7,12.6,90,7.6,9.219544457,0
287,7,6,91.6,104.2,474.9,22.1,49,2.7,8.062257748,0
288,7,6,91.6,104.2,474.9,24.2,32,1.8,8.062257748,0
289,7,6,91.6,104.2,474.9,24.3,30,1.8,8.062257748,0
290,7,6,91.6,104.2,474.9,18.7,53,1.8,5.385164807,0
291,7,6,91.6,104.2,474.9,25.3,39,0.9,9.848857802,0.08
292,7,5,91.6,100.2,466.3,22.9,40,1.3,6.403124237,0.0264
293,7,2,93.1,180.4,430.8,26.9,28,5.4,9.219544457,0.8645
294,7,2,92.3,88.8,440.9,17.1,67,3.6,10,0.0657
295,6,7,93.1,180.4,430.8,22.2,48,1.3,8.602325267,0
296,6,7,90.4,89.5,290.8,14.3,46,1.8,7.211102551,0.009
297,6,7,90.4,89.5,290.8,15.4,45,2.2,10,0
298,6,3,91.2,147.8,377.2,19.6,43,4.9,10,0
299,6,6,53.4,71,233.8,10.6,90,2.7,7.810249676,0
300,6,1,90.4,93.3,298.1,20.7,25,4.9,7.810249676,0
301,6,1,90.4,93.3,298.1,19.1,39,5.4,7.810249676,0.0352
302,6,5,91.1,94.1,232.1,19.2,38,4.5,6.708203932,0
303,6,5,91.1,94.1,232.1,19.2,38,4.5,6.708203932,0
304,5,6,85.1,28,113.8,11.3,94,4.9,7.810249676,0
305,9,7,89.6,84.1,714.3,19,52,2.2,4.123105626,0
306,9,7,89.6,84.1,714.3,17.1,53,5.4,8.062257748,0.0041
307,9,7,89.6,84.1,714.3,23.8,35,3.6,5,0.0518
308,9,7,92.4,105.8,758.1,16,45,1.8,4.472135955,0
309,9,7,92.4,105.8,758.1,24.9,27,2.2,4.472135955,0
310,9,7,92.4,105.8,758.1,25.3,27,2.7,8.062257748,0
311,9,7,92.4,105.8,758.1,24.8,28,1.8,6.708203932,0.1429
312,9,7,50.4,46.2,706.6,12.2,78,6.3,4.472135955,0
313,9,3,92.6,115.4,777.1,24.3,27,4.9,7.810249676,0
314,9,3,92.6,115.4,777.1,19.7,41,1.8,5.656854249,0.0158
315,9,3,91.2,134.7,817.5,18.5,30,2.7,5,0
316,9,4,92.4,96.2,739.4,18.6,24,5.8,6.403124237,0
317,9,4,92.4,96.2,739.4,19.2,24,4.9,5.656854249,0.0378
318,9,4,92.8,119,783.5,21.6,27,2.2,7.810249676,0
319,9,4,92.8,119,783.5,21.6,28,6.3,6.403124237,0.0441
320,9,4,92.8,119,783.5,18.9,34,7.2,6.708203932,0.3436
321,9,4,92.8,119,783.5,16.8,28,4,4.123105626,0.0721
322,9,4,92.8,119,783.5,16.8,28,4,7.810249676,0.0101
323,9,4,90.7,136.9,822.8,12.9,39,2.7,5.830951895,0.0218
324,9,4,88.1,53.3,726.9,13.7,56,1.8,7.810249676,0.0442
325,9,6,92.2,102.3,751.5,24.2,27,3.1,4.123105626,0
326,9,6,92.2,102.3,751.5,24.1,27,3.1,6.403124237,0
327,9,6,92.2,102.3,751.5,21.2,32,2.2,7.810249676,0
328,9,6,92.2,102.3,751.5,19.7,35,1.8,7.810249676,0
329,9,6,92.2,102.3,751.5,23.5,27,4,5,0.0333
330,9,6,92.2,102.3,751.5,24.2,27,3.1,4.242640687,0.0658
331,9,6,91.2,124.4,795.3,21.5,28,4.5,8.062257748,0.1564
332,9,6,91.2,124.4,795.3,17.1,41,2.2,5.656854249,0.1122
333,9,1,92.1,87.7,721.1,18.1,54,3.1,4.123105626,0.0213
334,9,1,91.6,108.4,764,18,51,5.4,3.605551275,0
335,9,1,91.6,108.4,764,9.8,86,1.8,5,0
336,9,1,91.6,108.4,764,19.3,44,2.2,8.062257748,0
337,9,1,91.6,108.4,764,23,34,2.2,6.708203932,0.5604
338,9,1,91.6,108.4,764,22.7,35,2.2,10,0.0748
339,9,1,91.6,108.4,764,20.4,41,1.8,4.472135955,0.0147
340,9,1,91.6,108.4,764,19.3,44,2.2,5.385164807,0.0393
341,9,1,91.9,111.7,770.3,15.7,51,2.2,10,0
342,9,1,91.5,130.1,807.1,20.6,37,1.8,6.708203932,0
343,9,1,91.5,130.1,807.1,15.9,51,4.5,10,0.0218
344,9,1,91.5,130.1,807.1,12.2,66,4.9,6.708203932,0.061
345,9,1,91.5,130.1,807.1,16.8,43,3.1,2.828427125,0.0583
346,9,1,91.5,130.1,807.1,21.3,35,2.2,4.123105626,0.2819
347,9,5,92.1,99,745.3,10.1,75,3.6,6.403124237,0
348,9,5,92.1,99,745.3,17.4,57,4.5,5,0
349,9,5,92.1,99,745.3,12.8,64,3.6,6.403124237,0.0164
350,9,5,92.1,99,745.3,10.1,75,3.6,6.403124237,0.0371
351,9,5,92.1,99,745.3,15.4,53,6.3,5.656854249,0.0731
352,9,5,92.1,99,745.3,20.6,43,3.6,8.062257748,0.0203
353,9,5,92.1,99,745.3,19.8,47,2.7,8.062257748,0.0172
354,9,5,92.1,99,745.3,18.7,50,2.2,8.062257748,0.0597
355,9,5,92.1,99,745.3,20.8,35,4.9,5.656854249,0.1306
356,9,5,92.1,99,745.3,20.8,35,4.9,5.656854249,0.0126
357,9,5,92.5,122,789.7,15.9,55,3.6,6.708203932,0
358,9,5,92.5,122,789.7,19.7,39,2.7,6.708203932,0
359,9,5,92.5,122,789.7,21.1,39,2.2,4.123105626,0.0812
360,9,5,92.5,122,789.7,18.4,42,2.2,7.810249676,0.0109
361,9,5,92.5,122,789.7,17.3,45,4,5,0.0394
362,9,5,88.2,55.2,732.3,15.2,64,3.1,8.062257748,0.0052
363,9,2,91.9,111.7,770.3,15.9,53,2.2,5,0.0293
364,9,2,91.9,111.7,770.3,21.1,35,2.7,7.810249676,0.0565
365,9,2,91.9,111.7,770.3,19.6,45,3.1,7.810249676,0.2003
366,9,2,91.1,132.3,812.1,15.9,38,5.4,6.403124237,0.0175
367,9,2,91.1,132.3,812.1,16.4,27,3.6,6.403124237,0
368,9,6,91.2,94.3,744.4,16.8,47,4.9,7.810249676,0.1264
369,9,7,91,276.3,825.1,13.8,77,7.6,6.403124237,0
370,9,7,91,276.3,825.1,13.8,77,7.6,8.062257748,0.1106
371,7,3,91.9,133.6,520.5,14.2,58,4,5,0
372,8,7,92,203.2,664.5,10.4,75,0.9,6.403124237,0
373,8,4,94.8,222.4,698.6,20.3,42,2.7,6.403124237,0
374,9,5,90.3,290,855.3,10.3,78,4,7.810249676,0.183
375,9,6,91.2,94.3,744.4,15.4,57,4.9,7.810249676,0.3935
376,8,1,92.1,207,672.6,21.1,54,2.2,10,0
377,8,6,93.7,231.1,715.1,21.9,42,2.2,2.828427125,1.7463
378,3,4,90.9,18.9,30.6,8.7,51,5.8,7.810249676,0
379,1,7,18.7,1.1,171.4,5.2,100,0.9,6.403124237,0
380,7,3,93.7,101.3,458.8,19.3,39,7.2,6.403124237,0.0773
381,8,4,90.7,194.1,643,16.2,63,2.7,10,0.1633
382,8,3,95.2,217.7,690,28.2,29,1.8,10,0.0586
383,8,4,91.6,248.4,753.8,20.5,58,2.7,10.81665383,0.4287
384,8,6,91.6,273.8,819.1,21.3,44,4.5,8.94427191,0.1218
385,8,7,91.6,181.3,613,20.9,50,2.2,4.472135955,0.16
386,9,7,90.5,96.7,750.5,20.6,55,5.4,5,0.2459
387,3,4,90.9,18.9,30.6,11.6,48,5.4,7.071067812,0
